Statistics Data,count,mean,std,min,25%,50%,75%,max
Number of nodes,13,92772.15385,40253.73262,59574,64295,71727,97739,165772
Number of links,13,246539.3077,117603.7727,148959,163760,185615,259483,463363
Density,13,3.20E-05,9.60E-06,1.66E-05,2.72E-05,3.60E-05,3.96E-05,4.20E-05
Average clustering coefficient,13,3.16E-05,2.86E-05,3.28E-06,8.32E-06,2.47E-05,3.96E-05,9.29E-05
Average In-Degree,13,2.618974561,0.102129882,2.50040286,2.530835555,2.587798179,2.669003334,2.79518254
Average Out-Degree,13,2.618974561,0.102129882,2.50040286,2.530835555,2.587798179,2.669003334,2.79518254
Average Total-Degree,13,5.237949122,0.204259764,5.000805721,5.061671109,5.175596358,5.338006667,5.59036508
Maximum In-Degree,13,44296.84615,20467.2709,29021,30185,33397,43200,88358
Maximum Out-Degree,13,22655.07692,8206.56577,15198,15972,19229,24946,37205
Maximum Total-Degree,13,66951.92308,28531.14558,44285,46184,52371,68146,125563
Average In-Degree Strength,13,3062771.248,2036436.113,1429517.86,1772995.04,2027557.329,3404305.621,7567844.678
Average Out-Degree Strength,13,3062771.248,2036436.113,1429517.86,1772995.04,2027557.329,3404305.621,7567844.678
Average Total-Degree Strength,13,6125542.495,4072872.227,2859035.719,3545990.08,4055114.657,6808611.241,15135689.36
Average path length,13,8.253212175,0.830986732,6.973106726,7.681334487,8.092098114,8.502420402,10.09391679
Diameter,13,258.3846154,67.0914034,146,211,271,291,394